#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,,,キャラ別ストーリー: 浜面 仕上 チャプター07,
#,,,それでも、生きている,
#,,,#【背景：学園都市・路地裏・昼】,
1,浜面 仕上,66000101,ここも変わんねぇな……。,1,10,,
38,浜面 仕上,66000101,こんなザマを見たら駒場さん、<br>笑うか怒るか、どっちなんだろうな。,1,11,
39,服部 半蔵,167000101,どっちでもねぇと思うぞ。<br>きっと「……ああ、そうか」なんて頷くだけさ。,1,12,
40,服部 半蔵,167000101,<ruby>無能力者</ruby>狩りの件にしてもそうだ。<br>誰かがやったなら、それでいい……ってな。,1,12,,
41,浜面 仕上,66000101,そう、か？,1,10,
42,服部 半蔵,167000101,俺はそう思うぜ。<br>それでいいじゃねぇか。,1,12,
43,服部 半蔵,167000101,死んだ奴が何を言うかなんて知りようがねぇ。<br>生きてる側で折り合いを付けるだけだ。,1,11,
44,服部 半蔵,167000101,少なくとも、俺が知ってる駒場のリーダーは<br>自分の手柄にこだわるような男じゃなかった。,1,10,
45,浜面 仕上,66000101,……かもな。<br>悪い、辛気くせぇ話しちまった。,1,12,
46,浜面 仕上,66000101,そろそろ行くわ。<br>長居しすぎた。,1,12,
47,服部 半蔵,167000101,これからどうするんだ？,1,10,
48,浜面 仕上,66000101,さぁな。<br>ただ、二度とここには戻らねぇ。,1,11,
49,浜面 仕上,66000101,じゃあな、半蔵。<br>久々に話せて嬉しかったぜ。,1,12,,
50,服部 半蔵,167000101,……そうかい。<br>死ぬなよ、浜面。,1,12,,
#,,,#【場面転換】,
#,,,#【背景：学園都市・路上A・昼】,
51,浜面 仕上,66000101,……これからどうする、か。,1,10,,
52,浜面 仕上,66000101,（そんなもん自分が聞きてぇ。<br>俺はどうする？　どうすりゃいい……？）,1,11,
53,浜面 仕上,66000101,！<br>……ああ、浜面だ。,1,15,ef_com_00100_002_001_00,
54,浜面 仕上,66000101,今からかよ？<br>ああわかった、わかったよ……！,1,15,
55,浜面 仕上,66000101,（とにかく今は、仕事に……<br>あいつらの元に戻るしかない）,1,13,
56,浜面 仕上,66000101,（どんなにクソッタレでも、生き残るために）,1,13,
#,,,#END,
