#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,
#,,,追っ手からの逃走,,,,
#,,,#【モノローグ開始→『窓のないビル』直下の地下空間】,
1,上里 翔流,103000801,この子達を頼む。<br>大丈夫、きみならいつもやってきた事だろう？,1,12,,
89,木原 唯一,245000701,ほら四つん這いの姿勢が崩れていますよ？<br>ああ、今は片腕失くして椅子の脚は三つでしたっけ？,1,12,
90,木原 唯一,245000701,まあどうでも良いですけど、ちょっと体重を<br>預けたくらいで椅子が傾いちゃ駄目じゃないですか。,1,21,
91,木原 唯一,245000701,もっと深く指を突き刺して<br>背骨を弄ってあげないと分かりませんかねえ。,1,21,
92,去鳴,155000703,はあー、はあー、かはあ！？,1,16,
93,木原 唯一,245000701,不満そうな顔ですね。<br>まだまだ立場ってものが分かっていないのかな。,1,13,
94,木原 唯一,245000701,……それとも、<rubypos><ruby=・>お</ruby><ruby=・>兄</ruby><ruby=・>ち</ruby><ruby=・>ゃ</ruby><ruby=・>ん</ruby><ruby=・>の</ruby><ruby=・>指</ruby><ruby=・>で</ruby><ruby=・>し</ruby><ruby=・>て</ruby><ruby=・>ほ</ruby><ruby=・>し</ruby><ruby=・>い</ruby><ruby=・>ん</ruby><ruby=・>で</ruby><ruby=・>す</ruby><ruby=・>か</ruby>？,1,12,,
95,去鳴,155000703,っっっ！？,1,16,,
96,木原 唯一,245000701,やっぱり他人のものって何か違う気がするんですよね。<br>レアリティが。,1,10,
97,木原 唯一,245000701,奪ったものを通して<br>持ち主の苦悶の声を耳にしているような……。,1,10,
98,木原 唯一,245000701,うーむ、まっさらな初雪を踏みつけるのとはまた違った<br>趣もあって、これはこれでなかなかのものかと。,1,11,
99,木原 唯一,245000701,（実際のところ、私には上条当麻を執拗に追い回して<br>殺害する理由は特にないんですよね）,1,20,
100,木原 唯一,245000701,（にも拘わらず、<br>私が自身の復讐に上条当麻を組み込んだのは何故か）,1,20,
101,木原 唯一,245000701,……ああ。<br>先生を痛めつけた者全てに対する復讐という話だと、,1,10,
102,木原 唯一,245000701,上里翔流だけでは<br>食べ足りないって事かもしれませんねえ。,1,10,
103,木原 唯一,245000701,……学園都市に、上条当麻。,1,10,
104,木原 唯一,245000701,アレイスターのヤツも自慢のコレクションを台無しに<br>されて、そろそろ悲鳴を上げている頃でしょうかね。,1,12,ef_com_00100_002_000_00,
#,,,#END,

































