#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,,,ストーリーイベント: とある幻想の一周記念[前編] チャプター02,
#,,,気になる水着,
#,,,#【学園都市外部・砂浜・昼】,
1,初春 飾利,36000401,それじゃあこの方達を然るべきところへお連れしますね。,1,10,,
36,御坂 美琴,4001201,……はい？,1,15,ef_com_00100_002_002_00,
37,佐天 涙子,37000401,メカ！？　メカってなんです！？<br>御坂さん、いつメカなんてつけてたんですか！？,1,15,ef_com_00100_002_002_00,
38,御坂 美琴,4001201,はぁ？　それっていつの話よ。,1,20,
39,上条 当麻,1000401,ほら、学園都市に大熱波が来た時があっただろ。<br>真冬なのに気温５５度を超えたアレ。,1,11,,
40,佐天 涙子,37000401,ああ、あまりの暑さに電子機器も全部壊れて、<br>学園都市の機能もほぼ停止しちゃったアレですね。,1,10,
41,上条 当麻,1000401,それそれ。<br>しかも外にはエレメントなんて化物も出てきてさ。,1,12,
42,上条 当麻,1000401,飲み水とか確保するために外に出なきゃいけないのに<br>エレメントがうろうろしてて大変だったんだぜ。,1,12,
43,上条 当麻,1000401,そんで外に出てるときにエレメントに襲われてさ、<br>もう絶体絶命って時に御坂が助けてくれたんだよ。,1,12,
44,上条 当麻,1000401,その時になんかガトリングとかミサイルとか物騒なもん<br>詰め込んだ羽みたいなメカ背負っててさ。,1,12,
45,上条 当麻,1000401,あのメカ、何て名前だったかな……。,1,11,
46,御坂 美琴,4001201,……なんだ、メカってA.A.A.のことか。,1,10,,
47,佐天 涙子,37000401,アンチアート……。<br>ええっと、どういう意味です？,1,14,
48,御坂 美琴,4001201,さあね。私にもよくわかんない。<br>名前の意味も、どういう理由で作られたのかも。,1,10,
49,御坂 美琴,4001201,（けど、A.A.A.さえあれば私も<br>コイツと一緒に……）,1,10,,
50,上条 当麻,1000401,……御坂、どうした？<br>俺の顔に何かついてるか？,1,15,ef_com_00100_002_002_00,
51,御坂 美琴,4001201,別に。なんでもないわよ。,1,11,
52,御坂 美琴,4001201,というかA.A.A.ってそれ相当『先』の話じゃない。<br>今話すような事じゃないでしょ？,1,11,,
53,上条 当麻,1000401,……相当先って、何言ってんだお前？,1,21,ef_com_00100_002_004_00,
54,御坂 美琴,4001201,え？　ああ、いや。<br>なんかそう言わなきゃいけない気がしたの！,1,15,
55,御坂 美琴,4001201,それより！　アンタ、せっかくのこの水着を見て<br>真っ先に思うことがそれだっての！？,1,20,
56,上条 当麻,1000401,あ、あれ？<br>御坂さん、なんか怒ってません？,1,21,
57,御坂 美琴,4001201,うっさい！<br>これでも食らえ、この馬鹿ぁ～～～～！！,1,13,ef_com_00100_002_005_00,
58,上条 当麻,1000401,う、うわぁ～～～～！！？,1,15,
#,,,#END,


