#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,組織名 Chapter1,
#,,,食蜂のヒーロー,,,,
#,,,#【謎の施設・廊下・室内ライト】,
1,食蜂 操祈,10000301,あのジーサンの狙いが御坂さんの暴走だったなんてぇ<br>悔しいけど誤算力だったわぁ……。,900100026,16,,
33,カイツ,175000101,ふぅ……貴女は？,901750005,10,
34,食蜂 操祈,10000301,幻生を追うわぁ。<br>私じゃないと洗脳されて終わりでしょぉ。,900100005,11,
35,食蜂 操祈,10000301,<ruby>心理掌握</ruby>を相手にできるのは<ruby>同じ能力</ruby>を持つ私だけ――。,,10,,
36,警策 看取,528000101,「アトアト、<br>遠隔操作されてるモノにも効かないよねっ？」,901390001,10,,
37,食蜂 操祈,10000301,（アレは……！　御坂さんと戦った能力者の人形！？<br>こんな時に相性力最悪なのが……！）,900100030,15,
38,警策 看取,528000101,「悪いけどちょっと付き合ってもらえるかなっ。<br>抵抗とかしないで大人しく――」,901390028,10,
39,白井 黒子,5000102,<ruby>風紀委員</ruby>ですの！！,900050028,20,,
40,白井 黒子,5000102,なにやら事態が大きくなっているようですわね。<br>アナタがたには拘束後、説明していただきます！,,20,
41,白井 黒子,5000102,特に警策看取！<br>『<ruby>書庫</ruby>』情報改竄ほか、取り調べる事が山程ありますの。,,20,,
42,食蜂 操祈,10000301,白井さぁん、そうは言っても<br>この場で聴取力を行使する訳にはいかないでしょぉ？,900100018,10,,
43,食蜂 操祈,10000301,悪いけどぉ、まずはこの二人を<br>敷地外に飛ばしてもらえないかしらぁ。,,10,
44,白井 黒子,5000102,……良いですわ。貴女もですの？,900050004,13,,
45,食蜂 操祈,10000301,今度は私と一緒に<br>ビルの中に飛んでもらえるかしらぁ。,900100005,11,,
46,警策 看取,528000101,「チェー……」,901390016,10,,
#,,,#【場面転換】,,,,
#,,,#【謎の施設・廊下・室内ライト】,
47,食蜂 操祈,10000301,ありがとぉー白井さん。助かったわぁー♪,900100014,12,ef_com_00100_002_000_00,
48,白井 黒子,5000102,事情を説明していただくためですから。,900050018,13,
49,白井 黒子,5000102,言っておきますが信用している訳ではありませんし、<br>アナタには一七七支部を襲撃した嫌疑がかかってますの。,,13,ef_com_00100_002_006_00,
50,食蜂 操祈,10000301,それでも今は協力体制を取った方が<br>お互いのため……でしょぉ？,900100005,10,
51,食蜂 操祈,10000301,現状に対する私の考察力を送り込んであげる☆<br>口で説明をする手間も省けるわぁ。,,21,,
52,白井 黒子,5000102,～～～～～ッ！？<br>あっ……後で必ず全てを説明してもらいますわよっ！,900050027,16,,
53,食蜂 操祈,10000301,（あのジーサンならともかくぅ、<br>能力者相手なら白井さんが何とかできるはずよねぇ）,900100005,11,
54,食蜂 操祈,10000301,（ちょぉっと驚いたけど……<br>自力でここまで辿り着くなんて、さすが優秀力だわぁ）,,10,
55,食蜂 操祈,10000301,（御坂さんにはもったいないわねぇ。<br>今度、ウチの派閥に勧誘しちゃおうかしらぁ☆）,,10,
56,食蜂 操祈,10000301,……さてとぉ。これで幻生に集中できるわねぇ。<br>陰謀力で勝負するとしましょおかぁ。,,22,
#,,,#END,
