#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,組織名 Chapter1,
#,,,ハーレムメイド計画,,,,
#,,,#【学園都市・路地裏】,
27,結標 淡希,17000101,まったくね。,900170018,13,ef_com_00100_002_005_00,
28,土御門 元春,3000101,いやー、実は行きつけのメイド喫茶のオーナーと<br>従業員が牡蠣にあたって全滅したらしくて。,900030015,14,
29,土御門 元春,3000101,急遽俺がオーナー代理として手伝うことになったんだが<br>肝心のメイドさんがいなくて困ってたんだにゃー。,0,14,
30,土御門 元春,3000101,そういうわけで君たち、メイドさんのバイトしてみない？<br>バイト代は弾むぜよ！,900030029,10,ef_com_00100_002_000_00,
31,泡浮 万彬,55000101,ええと、<ruby>私</ruby>は……。,900550018,10,ef_com_00100_002_006_00,
32,湾内 絹保,53000101,ど、どういたしましょう……。,900530017,10,ef_com_00100_002_003_00,
33,月詠 小萌,6000101,事情については気の毒だと思いますけど、<br>先生は立場的にあまり協力できないのです……。,900060013,16,
34,結標 淡希,17000101,くだらないわね。<br>悪いけど私はここで失礼するわ。,900170018,13,ef_com_00100_002_005_00,
35,土御門 元春,3000101,残念だにゃー……。,900030015,14,ef_com_00100_002_004_00,
36,土御門 元春,3000101,稼いだバイト代を寄付すれば<ruby>置き去り</ruby>施設の子供たち<br>の環境が、もっと早く改善されるかもしれないし。,0,10,,
37,土御門 元春,3000101,なにより、貰ったメイド服を着る<br>絶好の機会なんじゃないかにゃー？,900030029,10,
38,泡浮たち,0,「！？　子供たちの環境が……？」,,15,,
39,湾内 絹保,53000101,（それにメイド服を着れば、<br>婚后さんに喜んでいただけるかも……）,900530002,10,ef_com_00100_002_001_00,
40,結標 淡希,17000101,私はそんな手に乗らないわよ。,900170018,13,
41,結標 淡希,17000101,……そうやって言いくるめて<br>メイド服を着せようって魂胆でしょうけど――。,900170015,13,
42,土御門 元春,3000101,おっと、いいのかにゃー？　メイド喫茶常連客の連れに<br>極上の男子小学生がいるって話があるんだが。,900030008,10,
43,結標 淡希,17000101,なっ……！？,900170030,16,ef_com_00100_002_001_00,
44,結標 淡希,17000101,（極上の<ruby>男子小学生</ruby>ですって……！？）,900170010,16,,
45,土御門 元春,3000101,メイド喫茶のバイトを頑張るだけで、全ての人が<br>幸せになれるわけだが……さぁどうする君たちーーっ！？,900030029,12,
46,湾内 絹保,53000101,……わかりました。<ruby>私</ruby>やってみます。,900530011,10,,
47,月詠 小萌,6000101,え、ええっ！？,900060030,15,ef_com_00100_002_001_00,
48,泡浮 万彬,55000101,では<ruby>私</ruby>も。子供たちのためというなら<br>やってみる価値はありそうですし。,900550005,10,,
49,月詠 小萌,6000101,……そうなると、流石に生徒さんにだけ頑張らせて<br>先生が知らんぷりというわけには……。,900060023,10,ef_com_00100_002_006_00,
50,月詠 小萌,6000101,わかりました。<br>先生も子供たちのために協力するのです……！,900060005,12,ef_com_00100_002_001_00,
51,結標 淡希,17000101,……そうね。正直に言えば不本意極まりないけれど。<br>子供たちのためだというなら仕方ないわね。,900170006,10,
52,湾内 絹保,53000101,それでは<ruby>私</ruby>たちはメイド服を取りに行って参りますわ。,900530002,10,,
53,月詠 小萌,6000101,先生も先にボランティアの報告をしてくるのです。,900060005,10,
54,土御門 元春,3000101,じゃあ一旦解散して<br>二時間後に現地集合ってことでよろしく！,900030014,12,
#,,,#SE（歩き去る足音）,,,,
55,土御門 元春,3000101,ふふっ……やったぜよ……！,900030002,12,
56,土御門 元春,3000101,俺の長年の夢……<br>『ハーレムメイド計画』始動！,900030011,17,ef_com_00100_002_007_00,
#,,,#【イタリアンレストラン店内（昼）】,
57,土御門 元春,3000601,和風メイドに正当派ベーシックメイド、<br>そしてピンクのロリロリメイドと多種多様……。,900030002,17,
58,土御門 元春,3000601,うひょー！　贅沢だにゃー！,900030010,17,ef_com_00100_002_000_00,
59,湾内 絹保,53000701,さすがは婚后さんから頂いたものだけあって<br>縫製も肌触りも素晴らしいですね。,900530002,10,ef_com_00100_002_000_00,
60,泡浮 万彬,55000701,でも、やっぱり少し恥ずかしいです……。,900550015,17,ef_com_00100_002_006_00,
61,結標 淡希,17000501,店にあったものだけど、着方はこれでいいのかしら。,900170029,10,
62,月詠 小萌,6000801,どうして先生だけ<br>フリフリピンクのメイド服なんですかーっ！？,900060024,17,ef_com_00100_002_005_00,
#,,,#【時間経過】,
63,土御門 元春,3000601,では早速研修をはじめるにゃー！<br>まずはお迎えのご挨拶から……ハイッ！,900030028,10,
64,湾内たち,0,「お、おかえりなさいませご主人様……」,,,,
65,土御門 元春,3000601,もっと元気よく！,900030028,15,ef_com_00100_002_001_00,
66,湾内たち,0,「おかえりなさいませご主人様！」,,,,
67,土御門 元春,3000601,くぅーっ！　最高！,900030010,12,ef_com_00100_002_000_00,
68,結標 淡希,17000501,なんか腹立つわね……。,900170024,13,ef_com_00100_002_005_00,
69,土御門 元春,3000601,さて、次は萌え萌えアピールだにゃー！,900030029,10,
70,湾内たち,0,「萌え萌えアピール……！？」,,,,
71,土御門 元春,3000601,メイドそれぞれの持ち味を生かし、<br>お客に萌えを提供するサービスだにゃー！,900030029,10,
72,土御門 元春,3000601,例えば、萌えキュ～ンなポーズとおまじないで<br>お客様をメロメロにしたり……。,0,11,
73,土御門 元春,3000601,歌って踊れるメイドさん<br>なんていうのもなかなか萌えるにゃー！,0,12,
74,結標 淡希,17000501,ちょっと……そんな話聞いてないんだけど。<br>私は絶対やらないわよ。,900170012,13,
75,湾内たち,0,「<ruby>私</ruby>たちもそういうのは……」,,,,
76,土御門 元春,3000601,いやいや……メイド喫茶とはこういうものぜよ！<br>やると決めたら徹底的に――。,900030008,10,
77,土御門 舞夏,39000101,メイドのことはメイドに聞けー！,900390029,13,,
78,土御門 元春,3000601,！？　こ、この声は……！,900030017,15,ef_com_00100_002_001_00,
79,土御門 舞夏,39000101,そう、本物のメイド……土御門舞夏である！,900390001,11,,
80,土御門 舞夏,39000101,不安になったこの店のオーナーから繚乱家政女学校経由で<br>メイド喫茶監修の依頼を貰って来てみたわけだが……。,900390008,10,
81,土御門 舞夏,39000101,まったく……さすがに欲望に忠実すぎだろー。,900390015,13,
82,結標 淡希,17000501,どういうことかしら……説明してくれる？,,10,ef_com_00100_002_002_00,
83,土御門 舞夏,39000101,うむ。元々この店は上品な正当派メイド喫茶が<br>コンセプトであり……。,900390008,11,
84,土御門 舞夏,39000101,さっきの指導はあくまでその男の求めるメイドさんで、<br>元の店とは全くの別物なのだ。,900390011,13,
85,結標たち,0,「なっ！？」,
86,土御門 元春,3000601,舞夏……！　裏切るのかぁぁ！？,900030022,16,ef_com_00100_002_003_00,
87,土御門 舞夏,39000101,悪いがこれも仕事だからなー。<br>観念しろー。,900390011,13,
88,結標 淡希,17000501,なるほど、そういうこと……。,900170002,10,
89,泡浮 万彬,55000701,子供たちを大切に思う私たちの気持ちを……！,900550021,13,
90,湾内 絹保,53000701,利用したのですね……！,900530021,13,
91,月詠 小萌,6000801,根は悪い子ではないと、<br>先生もわかってはいますが……。,900060023,13,
92,結標 淡希,17000501,これはお仕置きが必要ね。,900170021,13,
93,土御門 元春,3000601,いや、待て待てっ！　話せばわかる……！,900030023,15,ef_com_00100_002_003_00,
94,結標たち,0,「問答無用ーーっ！！」,
,,,#END,
