#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,
#,,,ファミレス会議,,,,
#,,,#【ファミレス・店内・昼】,
1,打ち止め,22000101,えええええっ！？　ってミサカはミサカはあの人が<br>突然別の人に変身しちゃって大混乱してみたり！？,1,15,ef_com_00100_002_003_00,
28,司波 達也,211000101,――当麻達は学園都市で夢を共有する装置を使用し、<br>この世界に存在している。,1,10,,
29,司波 達也,211000101,一方で俺達は、普段通り眠りに就き、<br>目を覚ますとこの世界に紛れ込んでいたと……。,1,11,
30,七草 真由美,215000101,夢の世界とはいえ、二つの異なる世界が<br>融合するなんてこと、あり得るのかしら……？,1,10,
31,御坂 美琴,4002801,融合した二つの世界――……ひょっとしてそれが、<br>この世界の『設定』ってことなのかしら？,1,10,ef_com_00100_002_001_00,
32,当麻たち,,「『設定』？」,1,
33,御坂 美琴,4002801,これはきっと『ドリームチャネリング』の<br>イントロダクションなのよ。,1,10,
34,御坂妹,21000101,彼らのお話がミサカ達と随分異なるのは、<br>彼らがこのゲームの『登場人物』だからですね？,1,11,
35,御坂妹,21000101,と、ミサカはお姉様に同意を求めます。,1,10,
36,御坂 美琴,4002801,ええ。私達が達也さん達に出会ったのは、<br>世界観説明を受けるためなんじゃないかしら。,1,10,
37,御坂 美琴,4002801,だとしたら、この『物語』結構しっかりしてるわね。,1,11,
38,御坂妹,21000101,すごい作り込みです。彼らが<ruby=ノンプレイヤーキャラクター>ＮＰＣ</ruby>なら彼らと共に何かを<br>解決に導く事が、ストーリーの流れなのでは？,1,10,,
39,御坂 美琴,4002801,その可能性はあるわね。魔法使いとか出てくる<br>世界みたいだし、この後どんな展開になるのかしら。,1,10,
40,上条 当麻,1002101,……そう、なのか……？,1,11,ef_com_00100_002_002_00,
41,司波 達也,211000101,皆。この夢から脱出できるとすれば、条件がある筈だ。<br>この世界のどこかにある怪しい場所を見つけ出そう。,1,10,
42,司波 達也,211000101,――例えば、囚われた人物を救い出せば、<br>君達も解放されるかもしれない。,1,10,
43,御坂 美琴,4002801,なるほど、こうやって得られるヒントを元に<br>『物語』を進めていけば良いのね。,1,10,
44,司波 達也,211000101,実は、この世界で目覚める前に変なヴィジョンを<br>見たんだ……子供達が助けを求めてくる……。,1,11,
45,上条 当麻,1002101,（子供……助け、を？　ちょっと待て、何か大事なことを<br>忘れているような気がする……でも、何をだ……！？）,1,10,ef_com_00100_002_001_00,
46,上条 当麻,1002101,（考えろ……考えろ、俺！！　一体何を忘れてる！？<br>ッ……また、頭がズキズキして……！）,1,16,ef_com_00100_002_006_00,
47,上条 当麻,1002101,（いや、待て……<br>もしかして、忘れさせられたんじゃないのか……？）,1,16,
48,上条 当麻,1002101,（俺には何も影響がなかった。<br>いや、そう思い込んでいるだけだとしたら……）,1,16,
49,上条 当麻,1002101,（俺にも、何らかの力が作用していたとしたら……？<br>なら――――）,1,13,ef_com_00100_002_004_00,
50,小さい男の子Ａ,58000101,……ここから出してよ……。,1,-2,,
51,小さい女の子,59000101,痛いのは嫌……！,1,-2,,
52,小さい男の子Ｂ,58000101,誰か、助けて――……！,1,-2,,
53,上条 当麻,1002101,――――ッッ！！！　そうだ……思い出した！！<br>俺も見たぞ、そのヴィジョンっ！！,1,15,ef_com_00100_002_001_00,
54,司波 達也,211000101,……当麻、そのヴィジョンについて話してくれるか。<br>俺の見たものと一致しているか確認したい。,1,10,,
55,上条 当麻,1002101,小さな子供が、大きな機械に入れられて……<br>それが何台も並んでる部屋で……。,1,11,,
56,上条 当麻,1002101,子供達は、多分……、<br>人体実験みたいなものを受けてるんだ。,1,10,
57,上条 当麻,1002101,「誰か、助けて」って消え入りそうな声で訴えてた……。,1,10,
58,上条 当麻,1002101,あの声は、ゲームや作り物なんかの声じゃない……。<br>根拠はないけど心から助けを求める本物の声だった……。,1,11,
59,御坂 美琴,4002801,ええっと……そういうストーリーってことよね？,1,15,ef_com_00100_002_002_00,
60,司波 達也,211000101,俺が見たヴィジョンと同じだ。推察するに、この夢は<br>子供達のＳＯＳ……俺達へのメッセージ。,1,11,,
61,司波 達也,211000101,ヴィジョンの中の機械……あれは恐らく大型<ruby=シーエーディー>ＣＡＤ</ruby>。<br>俺達の世界の技術によるものだ。,1,10,,
62,司波 達也,211000101,そしてその中の子供達は、調整体魔法師だろう。,1,10,
63,司波 深雪,212000101,ではこの夢は、その人体実験による副産物……！？,1,15,ef_com_00100_002_003_00,
64,司波 達也,211000101,とも言えるだろう。子供達の苦しみが<ruby=シーエーディー>ＣＡＤ</ruby>を介し、,1,11,
65,司波 達也,211000101,何らかの要因で当麻達の世界にある『ドリーム<br>チャネリング』と結びつき強力な魔法となった。,1,10,
66,司波 達也,211000101,――俺達はその<br>特殊な魔法に巻き込まれてしまったんだ。,1,11,
67,司波 深雪,212000101,そんな……。,1,14,ef_com_00100_002_004_00,
68,司波 達也,211000101,だが希望はある。この夢が子供達の<br>ＳＯＳによってつくられた世界なら、,1,11,
69,司波 達也,211000101,子供達を救うことが<br>夢世界からの脱出条件である可能性は高い。,1,10,
70,インデックス,2002501,とうま、ズルいんだよー！　『失われた記憶』とか『助け<br>を求める声』とか主人公格のイベントかも！,1,15,
71,御坂 美琴,4002801,……なんにせよ、これからの目的がハッキリしたわね。<br>お次は『探索』ってとこかしら。,1,11,
72,インデックス,2002501,よぉし！　子供達を助けに行くんだよ！<br>……とうま？,1,10,ef_com_00100_002_001_00,
73,上条 当麻,1002101,………いや、何でもない。,1,11,
#,,,#END,
