#ID,名称,CharaID,メッセージ（全角26文字x2行）,ボイスID,表情差分,エモーション,
#,
#,,,営巣部隊の本拠地へ,,,,
#,,,#【学園都市・交差点_大熱波・昼】,,,,
1,上条 当麻,1002701,怖い怖い怖い怖い怖いッッッ！！,1,14,ef_com_00100_002_003_00,
23,烏丸 府蘭,105000101,しっ。何だか外が騒がしいのです。<br>ちょっと前までの巡回パターンが明らかに崩れている。,1,13,
24,豊山 琉華,247000101,……落とした。,1,15,ef_com_00100_002_004_00,
25,上条 当麻,1002701,あん？,1,14,ef_com_00100_002_002_00,
26,豊山 琉華,247000101,爆弾落としたっ。壁際の格子が嵌った側溝にっ。<br>あなたがいきなり後ろからぶつかってくるからっ。,1,15,
27,上条 当麻,1002701,琉華ァァァあああああああああああああああああああああ<br>あああああああああああああああああああ……むぐっ！？,1,15,ef_com_00100_002_003_00,
28,烏丸 府蘭,105000101,しーっなのです！,1,13,
29,豊山 琉華,247000101,どどどどうしよどうしよ取れないこれ手が入らない<br>もう封を切っちゃったから止められない――。,1,14,ef_com_00100_002_003_00,
30,豊山 琉華,247000101,けどどうしよう早くここ出ないと自分で仕掛けた爆弾で<br>天まで吹っ飛ぶ間抜けな事態に……。,1,14,
31,上条 当麻,1002701,ぷはっ、落ち着け琉華っ。,1,16,
32,上条 当麻,1002701,第二一学区から第一一学区まで行けるよう、リミットは<br>何時間もあるはずだろ。それまでに外へ出れば良い！,1,20,
33,烏丸 府蘭,105000101,でも、何だか表は結構ヤバそうな感じなのです。,1,21,
34,上条 当麻,1002701,ならちょっとどけ府蘭。そんなおぶさって、お前<br>ウサギよりコアラの方が似合っているんじゃないのか。,1,20,
35,上条 当麻,1002701,（外の様子は……確かに『<ruby>営巣部隊</ruby>』の様子がおかしい。<br>蜂の巣をつついたような大騒ぎになっている）,1,20,,
36,上条 当麻,1002701,何だ？　俺達が見つかったって訳じゃないよな。,1,15,ef_com_00100_002_002_00,
37,豊山 琉華,247000101,……警備の密度が上がって、<br>しかも巡回パターンが見えなくなった。,1,14,
38,豊山 琉華,247000101,迂闊に外へ飛び出したら見つかるパターンよね。でもって<br>格子の奥に落ちた爆弾のリミットは二時間三〇分。,1,14,,
39,豊山 琉華,247000101,……これまでに何とかできないと、<br>みんな揃って夜空に輝く新しい星になる、かも？,1,14,,
#,,,#【暗転】,
40,上条 当麻,1002701,くそっ、あっちもこっちもスクランブル交差点みたいに<br>なってるぞ。あいつら、何にそんなに脅えているんだ。,1,14,ef_com_00100_002_006_00,
41,烏丸 府蘭,105000101,何気にもう一時間経っているのです。,1,10,
42,上条 当麻,1002701,おいおいおい。ここから連中の注意を<br>よそへ逸らす事はできないのか？,1,21,
43,烏丸 府蘭,105000101,琉華のマスケット銃でも使って？<br>あるいはカトラスをぶん投げて？,1,10,
44,烏丸 府蘭,105000101,何にしたって注目を浴びるのは着弾点より<br>発射元なのです。間違いなくヤブヘビになります。,1,10,
45,烏丸 府蘭,105000101,というか琉華、主観年齢を制御して<br>見た目の年齢変えられましたよね。,1,10,
46,烏丸 府蘭,105000101,もっとちびっこになって手や指を細くすれば。,1,10,
47,豊山 琉華,248000101,やってるやってる。<br>でもこれもうそういう問題じゃなさそうな……。,1,14,,
48,烏丸 府蘭,105000101,背に腹は代えられないのです……。,1,20,
49,烏丸 府蘭,105000101,どうせ使っているのは旧式の黒色火薬でしょう。<br>水に濡らせば湿気って使い物にならなくなるはず。,1,13,
50,烏丸 府蘭,105000101,たとえ手が届かなくても、上からおしっこでも何でも<br>引っ掛けて殺してやれば良いのです……ッ！,1,13,
51,上条 当麻,1002701,待て府蘭！　決意の顔でしゃがむ前に<br>女の子の尊厳の話をしよう！！,1,15,ef_com_00100_002_003_00,
52,豊山 琉華,248000101,というか根本的に全面ガラスで覆っているから<br>外からどうやったって湿気る事はないし。,1,10,,
53,烏丸 府蘭,105000101,っ。そのカトラスを格子の間に突っ込んで<br>割ってしまう事はできないのですか。,1,21,
54,豊山 琉華,248000101,そんな衝撃与えたら吹っ飛ぶわよ。というか、落とした<br>時点で破裂しなかっただけでも奇跡だっていうのに。,1,14,,
55,烏丸 府蘭,105000101,どうしていらん所でそんなに<br>ぱーふぇくとなもん作っているのですか琉華！？,1,14,
56,豊山 琉華,247000101,……だ、だって、私が作戦の要って言われていたし。,1,17,,
57,豊山 琉華,247000101,みんなにそんな期待を込めた目で見られたら、<br>これはもう本当に頑張らなくちゃって……。,1,17,
58,烏丸 府蘭,105000101,空回りの子メンドクサイッッッ！！,1,15,ef_com_00100_002_003_00,
59,豊山 琉華,247000101,っ……！！,1,15,ef_com_00100_002_004_00,
60,上条 当麻,1002701,決断しよう。,1,20,
61,上条 当麻,1002701,どうやっても側溝に落ちた爆弾は回収できない。このまま<br>小屋に留まれば自前の爆弾で吹っ飛ばされるだけだ。,1,20,
62,豊山 琉華,247000101,……うう、誰か私を埋めてちょうだい。<br>誰もいない湿った土の中に。,1,14,ef_com_00100_002_006_00,
63,上条 当麻,1002701,卑屈になるな琉華。お前は良くやってる。,1,10,
64,烏丸 府蘭,105000101,でも、表に出たら『<ruby>営巣部隊</ruby>』の連中に見つかって<br>蜂の巣の出来上がりなのです。,1,14,,
65,烏丸 府蘭,105000101,派手な陽動をすればするだけ、<br>出処を調べられてヤブヘビになります。,1,14,
66,上条 当麻,1002701,それが『目に見える』トラブルならな。,1,11,
67,上条 当麻,1002701,ここにある大量のボンベ、中身はプロパンだ。<br>ドアの近くまで寄せて、隙間からガスを表へ送り出そう。,1,20,
68,上条 当麻,1002701,敷地の外周を囲うフェンスの向こうまで<br>流し込んでから火種を投げ込めば良い。琉華。,1,20,
69,豊山 琉華,247000101,ぅふぁい？,1,14,
70,上条 当麻,1002701,泣くのはまだ早いっ。お前の鉛弾が頼りなんだ。<br>だから涙と鼻水を拭いて前を向けよ。,1,20,
#,,,#【暗転】,
71,豊山 琉華,247000101,や、やっぱり、変な匂いがこっちまで入り込んでない？,1,14,,
72,烏丸 府蘭,105000101,……うーん、<br>鼻につくような、つかないような、なのです。,1,14,
73,上条 当麻,1002701,よせ府蘭、自己暗示にやられるぞ。,1,20,
74,上条 当麻,1002701,塩梅は正直手探りだ。ボンベの軽さ的にこんなもんか？<br>琉華。三〇数えたらフェンスの向こうの地面を撃て。,1,20,,
75,上条 当麻,1002701,ある程度時間を挟めば最後に流れていったガスの端と<br>小屋との間に多少の距離ができる……と、思う。,1,20,
76,豊山 琉華,247000101,本当に大丈夫なの……？,1,14,ef_com_00100_002_002_00,
77,上条 当麻,1002701,何にせよ、アンタのマスケット銃だけが頼りなんだ。,1,20,
78,豊山 琉華,247000101,っ。,1,15,,
79,烏丸 府蘭,105000101,ああっ、琉華にその持ち上げ方はまずいと<br>学ばなければならないはずなのにです！,1,14,ef_com_00100_002_006_00,
80,豊山 琉華,247000101,両耳、塞いでおいた方が良いわ。,1,13,,
81,上条たち,,「……、」,1,,,
82,琉華たち,,「ッッッ！！！？？？」,1,,,
83,烏丸 府蘭,105000101,琉華ァ！！,1,13,,
84,上条 当麻,1002701,違うっ、タイミングがおかしい。<br>爆発の原因はガスじゃない！,1,20,
85,豊山 琉華,247000101,ぅ、ん。,1,13,,
86,上条 当麻,1002701,なあっ！？　琉華のマスケット銃が暴発した！？<br>鉛弾が、跳弾してっ、うわっ、うわァあああああっ！？　,1,15,ef_com_00100_002_003_00,
87,上条 当麻,1002701,殺す気かバカヤローッ！！,1,15,
88,烏丸 府蘭,105000101,琉華を手放しで褒めて持ち上げた<br>私達にも原因はあったのです。,1,21,
89,烏丸 府蘭,105000101,こいつはちょっと踏んづけられるくらいで<br>ちょうど良いのかもしれないです。,1,21,
90,上条 当麻,1002701,（今度は何だっ、外で立て続けに爆発が起きてる！？<br>どこかの誰かが『<ruby>営巣部隊</ruby>』を襲撃しているのか！？）,1,21,,
91,上条 当麻,1002701,府蘭、琉華！　爆発を起こしてるのが誰だか知らないけど<br>注目を集めてくれている内に出るぞ、覚悟を決めろ！！,1,13,
#,,,#【場面転換】,
#,,,#【学園都市・山道・昼】,
92,烏丸 府蘭,105000101,あれは……襲撃者の正体は追っ手だったようです。<br>でも、どうしてこのタイミングでなのです。,1,15,ef_com_00100_002_001_00,
93,上条 当麻,1002701,考え込んでる場合か！　早く移動しないと<br>すぐ後ろに大量のガスボンベと琉華の爆弾が――！！,1,20,,
#,,,#【暗転】,,,,
94,上条 当麻,1002701,生きてるか、おい……。<br>アンタら借り物なんだ、上里へ返す前に死ぬなよ。,1,14,ef_com_00100_002_004_00,
95,上条 当麻,1002701,こんなのであいつに特大の借りなんて作りたくない。,1,14,
96,烏丸 府蘭,105000101,うっ……。,1,16,
97,豊山 琉華,247000101,くっ……。,1,16,
98,上条 当麻,1002701,（……襲撃してきた『旧』上里勢力に、<br>『<ruby>営巣部隊</ruby>』も出し惜しみなしで応戦を始めた……）,1,13,,
99,上条 当麻,1002701,どっちもどっちでバケモノだ。<br>こんなトコさっさと離れよう。,1,13,
100,烏丸 府蘭,105000101,？,1,15,ef_com_00100_002_002_00,
101,上条 当麻,1002701,（何だ？　府蘭のヤツは何で足元を見て……って、<br>何だよこの地面に広がる亀裂はッ！？）,1,15,ef_com_00100_002_002_00,
102,上条 当麻,1002701,うおおおおァァァああああああああああああああああああ<br>ああああああああああああああああああああああああ！？,1,15,ef_com_00100_002_003_00,
#,,,#【暗転→黒背景のまま】,
103,有村 絵恋,251000101,……前から府蘭と話している時は<br>ちょいと違和感あったんどす。,1,10,,
104,有村 絵恋,251000101,まあ友達やと思うて疑いに蓋をしていた部分も<br>ありましたけど、もう遠慮する必要はない。,1,11,
105,有村 絵恋,251000101,改めて考えてみれば妙な点は色々とあった。,1,13,
106,有村 絵恋,251000101,何で上里はんとお話しする時にアルドステルンや<br>コルチゾールの匂いが汗から滲んどるんどす、とかなあ。,1,13,
107,有村 絵恋,251000101,ストレス性の副腎皮質ホルモン、<br>ここにはとんでもない爆弾がある。,1,13,
108,有村 絵恋,251000101,こっちも出し惜しみナシでいきますえ、府蘭。,1,12,ef_com_00100_002_000_00,
#,,,#【場面転換】,
#,,,#【『窓のないビル』直下の地下空間】,
109,去鳴,155000703,どう、して。,1,14,,
110,木原 唯一,245000701,実験ですよ。,1,10,,
111,去鳴,155000703,……？,1,14,ef_com_00100_002_002_00,
112,木原 唯一,245000701,私はとある事情から、<br>先生を超える唯一の『木原』にならなければなりません。,1,10,
113,木原 唯一,245000701,ですが問題なのは、何をもって先生を超えたと<br>自己判断するか、という部分にありまして。,1,10,
114,木原 唯一,245000701,そうすると一番分かりやすいのは偉業、<br>金字塔の達成ですが、さて、,1,10,
115,木原 唯一,245000701,他の『木原』には到底手も届かないプロジェクトは何か。<br>これもまた、面倒臭いほどに大変でして。,1,10,
116,木原 唯一,245000701,でも、そんな中で私は見つけた。,1,11,
117,去鳴,155000703,なに、を。,1,13,
118,木原 唯一,245000701,今のあなた達がまさにそれなんですよ。,1,12,
119,木原 唯一,245000701,木原唯一から理不尽な命令を受け続ける事で高い壁に直面<br>すると、やがてはその恐怖を避けるよう努力を始める。,1,12,
120,木原 唯一,245000701,私の顔色次第で恐怖の迷路を抜けられる事にも<br>気づいてしまうでしょうね。,1,12,
121,木原 唯一,245000701,それってつまり、『木原』らしい行動パターンの<br>移植とも受け取れる訳ですよね？,1,12,
122,木原 唯一,245000701,あなたは誰よりも私を嫌悪し、恐怖し、<br>忌避しながら、徐々に似通ってきている。,1,12,
123,木原 唯一,245000701,私という異物と接し、私という異物を理解し、<br>しかし私ともズレた存在へと。,1,12,
124,木原 唯一,245000701,希釈拡散した『木原唯一に媚びて木原唯一となった思考』<br>はやがて学園都市全域に及ぶでしょう。,1,12,
125,木原 唯一,245000701,後はその繰り返し、バームクーヘンや樹木の年輪のように<br>範囲を広げていけば良い。,1,12,
126,去鳴,155000703,……、,1,13,
127,木原 唯一,245000701,つまり、地球人類全てを『木原に脅えて<br>木原を組み込んだ誰か』に作り替えるという、,1,20,
128,木原 唯一,245000701,言ってみれば相互監視社会を超えた<br>相互犯行社会を作るための実験です。,1,20,
129,木原 唯一,245000701,あなた達の中の『木原』は私そのものじゃない。<br>それが新たな『木原』を無尽蔵に生み出す。,1,20,
130,木原 唯一,245000701,ここまでやれば流石に他の『木原』が成し遂げた<br>事のない偉業と自己評価できるようになるでしょう。,1,20,
131,木原 唯一,245000701,何より、地球人類がくまなく『木原』になってしまえば、<br>アレイスターの『<ruby>原型制御</ruby>』も届かない。,1,20,,
132,木原 唯一,245000701,もう誰も『木原』を切り捨てられない『<ruby=バッドマジョリティ>錆びた歯車</ruby>』の<br>位置を陣取る。うん、パーフェクトです。,1,12,,
133,木原 唯一,245000701,善悪で言えば悪で、好悪で言っても悪でしょうけどねっ☆,1,12,ef_com_00100_002_000_00,
#,,,#END,
