#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,組織名 Chapter1,
#,,,過ちは繰り返さない,,,,
#,,,#【謎の施設・廊下・室内ライト】,
1,食蜂 操祈,10000301,（いた……木原幻生……！）,900100003,15,,
23,木原 幻生,57000101,この二つが御坂君と掛け合わさればどれほどの……ッ。,,15,,
24,木原 幻生,57000101,こうしちゃおれん！！<br>手持ちの機器と分析系能力者を総動員して観察を――。,900570004,15,
25,木原 幻生,57000101,はっ！　し……しまったぁ！？<br>食蜂君を逃したぁ……！,900570017,15,ef_com_00100_002_003_00,
#,,,#【場面転換】,
26,食蜂 操祈,10000301,（バカなのかしらぁ？）,900100016,20,,
27,食蜂 操祈,10000301,（とはいえ、困ったわぁ。能力が<ruby>心理掌握</ruby>だけなら<br>手の打ちようもあったのに『<ruby>多才能力</ruby>』が相手じゃねぇ）,900100022,16,,
28,食蜂 操祈,10000301,（陰謀力であのジーサンの上を行くのは難しいかも。<br>『<ruby>外装代脳</ruby>』の権限力まで奪われた状態だしぃ……）,,16,,
29,食蜂 操祈,10000301,（……なんかもう『<ruby=アレ>外装代脳</ruby>』いらなくない？）,900100015,20,,
30,食蜂 操祈,10000301,（能力の底上げを引き換えに今回みたいな乗っ取りとかぁ<br>色々考えると、デメリットの方が大きいんじゃない？）,,20,
31,食蜂 操祈,10000301,（でも、それじゃあどうやって廃棄したものかしらねぇ）,,13,
32,食蜂 操祈,10000301,（一番最適なのは自壊コードを入れる事だけどぉ……<br>『<ruby>外装代脳</ruby>』へのアクセス権限力は今、幻生にある）,900100005,13,,
33,食蜂 操祈,10000301,（権限力を奪い返すには『<ruby>幻想御手</ruby>』を解かなきゃ<br>いけないし、それができてりゃ苦労ない訳でぇ）,,20,,
34,食蜂 操祈,10000301,（いっそ幻生を操って自壊コードを自ら入力させれば……<br>って、また本末転倒に……）,,20,
35,食蜂 操祈,10000301,……いや、できる。,900100006,13,
36,食蜂 操祈,10000301,（……でもぉ、ちょっとリスクがありすぎよねぇ。<br>それだったら交渉した方が多分生存力は高い……）,,13,
37,食蜂 操祈,10000301,（……御坂さんはどうなっても良いけどぉ）,,11,
38,食蜂 操祈,10000301,（『<ruby>妹達</ruby>』に撃ち込まれたウィルスを<br>研究機関で完治できるとは限らないしぃ）,,11,,
39,食蜂 操祈,10000301,（ウィルスの構造力を把握するためにも<br>幻生の頭を覗いておく必要があるのよねぇ）,900100005,10,
40,食蜂 操祈,10000301,（それに、この機会を逃せば<br>幻生は多分二度と捕まえられない）,,13,
41,食蜂 操祈,10000301,賭け……ねぇ。,900100015,20,
42,食蜂 操祈,10000301,限界力ギリギリまで勝つ事を追求したその上で<br>『私』が『敗北』する事に賭ける……かぁ。,,20,
43,食蜂 操祈,10000301,（リミッター解除コードと自壊コードの<br>私自身の認識を入れ替えて……その記憶を全て消すっ）,,13,,
#,,,#END,
