#ID,名称,CharaID,メッセージ,ボイスID,表情差分,エモーション,
#,,,組織名 Chapter1,
#,,,肉体を変質させる芳川,,,,
#,,,#【黄泉川愛穂のアパート】,
33,芳川 桔梗,54000101,豊胸マシンに、小顔マシン、二の腕が細くなるマシン、<br>お腹をヘコましてくびれを作るマシン――。,0,-2,
34,芳川 桔梗,54000101,ヒップアップマシンに、太ももを細くするマシン、<br>肌を美しくするマシン。,0,-2,
35,芳川 桔梗,54000101,これで、全身を一度に綺麗にすることができるわ。<br>私ってなんて賢いのかしら。,900540002,-2,ef_com_00100_002_000_00,
36,打ち止め,22000101,ヨシカワー！　さっきの機械だけど、ミサカも――。,900220001,10,,
37,芳川 桔梗,54000101,あ……。,900540017,-2,
38,打ち止め,22000101,………………。,0,10,
39,芳川 桔梗,54000101,ち、違うの……これは、その……。,900540013,-2,ef_com_00100_002_003_00,
40,打ち止め,22000101,ひゃあああっ！　ってミサカはミサカは全身機械の<br>お化けを見て悲鳴を上げてみたりー！,900220017,16,
41,芳川 桔梗,54000101,お、お化けって……。<br>私よ、<ruby>最終信号</ruby>。芳川――。,900540030,-2,ef_com_00100_002_004_00,
42,打ち止め,22000101,こっちこないでー！　ってミサカはミサカは恐怖を感じて<br>思わず能力を使ってみる！,900220022,16,,
43,芳川 桔梗,54000101,きゃああああっ！？,900540027,-2,
44,黄泉川 愛穂,7000101,何事じゃん！？,900070030,15,,
45,打ち止め,22000101,ヨミカワ！　機械のお化けが！,900220017,15,ef_com_00100_002_003_00,
46,黄泉川 愛穂,7000101,お化けって……この全身の機械から白い煙噴いてる<br>桔梗のことじゃん……？,900070012,15,,
47,打ち止め,22000101,え……これ、ヨシカワだったの？　ってミサカはミサカは<br>まだ信じられずにお化けの顔を覗き込んでみたり……。,900220030,15,
48,打ち止め,22000101,あ、本当にヨシカワだ！<br>ってミサカはミサカは安心してみる！,900220022,10,
49,芳川 桔梗,54000101,うう……せっかくのマシンが……ハリウッド女優が……。,900540015,14,
50,黄泉川 愛穂,7000101,ハリウッド女優？　いったい何のことじゃん？,900070028,15,ef_com_00100_002_002_00,
#,,,#END,




























































































