#command,param1,param2,param3,param4,
#,
control,1,
stage,17002002,,,,
bgm,stop,
chara,1000201,上条 当麻,14,
wait,2,
talk,37,上条 当麻,,,
+talk,show,1,
+上条 当麻.fade,in,0.5,
+御坂 美琴.fade,in,0.5,
+御坂 美琴.facial,17,
+place,上条 当麻,御坂 美琴,
bgm,play,30010004,,,
talk,38,御坂 美琴,,,
talk,39,上条 当麻,,,
talk,40,御坂 美琴,,,
+御坂 美琴.shake,"(0.10,0)","(10,0)",1,
talk,41,上条 当麻,,,
bgm,stop,
talk,42,上条 当麻,,,
talk,43,御坂 美琴,,,
bgm,play,30010007,,,
talk,44,上条 当麻,,,
talk,45,上条 当麻,,,
talk,46,御坂 美琴,,,
talk,47,上条 当麻,,,
talk,48,上条 当麻,,,
talk,49,御坂 美琴,,,
talk,50,上条 当麻,,,
bgm,stop,
talk,51,御坂 美琴,,,
+se,play,300200000200,,,
wait,1,
bgm,play,30010005,,,
talk,52,上条 当麻,,,
talk,53,御坂 美琴,,,
talk,54,御坂 美琴,,,
talk,55,上条 当麻,,,
talk,56,御坂 美琴,,,
+se,play,300200000260,,,
+screen.effect,ef_com_00000_002_007_00,"(0,0)",1,0,
+stage.shake,"(0.10,0)","(10,0)",1,
wait,1,
talk,57,上条 当麻,,,
fade,out,1,#FFFFFF,0,
+se,play,300200000170,,,
talk,show,0,
wait,0.5,
screen.effect,delete,,,,
fade,in,1,#FFFFFF,0,
talk,58,上条 当麻,,,
+talk,show,1,
wait,2,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],



























,,,,s,
