#command,param1,param2,param3,param4,
#,
control,1,
stage,17002001,,,,
bgm,stop,
chara,506000206,男性客Ａ,10,
chara,513000106,女性客Ａ,10,
chara,508000106,司会,12,
chara,66000101,浜面 仕上,15,
talk,16,白井 黒子,,,
talk,17,御坂 美琴,,,
talk,18,佐天 涙子,,,
talk,19,白井 黒子,,,
+白井 黒子.shake,"(0.10,0)","(10,0)",1,
wait,0.5,
佐天 涙子.fade,out,0.5,
+初春 飾利.fade,out,0.5,
+白井 黒子.fade,out,0.5,
+御坂 美琴.fade,out,0.5,
talk,20,麦野 沈利,,,
+浜面 仕上.fade,in,0.5,
+麦野 沈利.fade,in,0.5,
+絹旗 最愛.fade,in,0.5,
+滝壺 理后.fade,in,0.5,
+place,絹旗 最愛,滝壺 理后,浜面 仕上,麦野 沈利,
talk,21,浜面 仕上,,,
talk,22,麦野 沈利,,,
talk,23,浜面 仕上,,,
+浜面 仕上.shake,"(0.10,0)","(10,0)",1,
talk,24,絹旗 最愛,,,
talk,25,滝壺 理后,,,
浜面 仕上.fade,out,0.5,
+麦野 沈利.fade,out,0.5,
+絹旗 最愛.fade,out,0.5,
+滝壺 理后.fade,out,0.5,
talk,26,食蜂 操祈,,,
+帆風 潤子.fade,in,0.5,
+食蜂 操祈.fade,in,0.5,
+place,帆風 潤子,食蜂 操祈,
talk,27,帆風 潤子,,,
talk,28,食蜂 操祈,,,
talk,29,帆風 潤子,,,
talk,30,帆風 潤子,,,
帆風 潤子.fade,out,0.5,
+食蜂 操祈.fade,out,0.5,
talk,31,雲川 芹亜,,,
+削板 軍覇.fade,in,0.5,
+雲川 芹亜.fade,in,0.5,
+place,削板 軍覇,雲川 芹亜,
talk,32,雲川 芹亜,,,
talk,33,削板 軍覇,,,
talk,34,雲川 芹亜,,,
削板 軍覇.fade,out,0.5,
+雲川 芹亜.fade,out,0.5,
bgm,play,30010020,,,
talk,35,司会,,,
+司会.fade,in,0.5,
+place,司会,
talk,36,司会,,,
司会.fade,out,0.5,
talk,37,御坂 美琴,,,
+御坂 美琴.fade,in,0.5,
+place,御坂 美琴,
+御坂 美琴.shake,"(0.80,0)","(1,2)",2,
wait,0.5,
御坂 美琴.fade,out,0.5,
talk,38,削板 軍覇,,,
+screen.effect,ef_com_00000_001_000_00,"(0,0)",2,0,
+削板 軍覇.fade,in,0.5,
+place,削板 軍覇,
wait,1.5,
screen.effect,delete,
削板 軍覇.fade,out,0.5,
talk,39,御坂 美琴,,,
+初春 飾利.fade,in,0.5,
+御坂 美琴.fade,in,0.5,
+place,初春 飾利,空白,空白,御坂 美琴,
+初春 飾利.facial,13,
wait,0.5,
talk,40,初春 飾利,,,
talk,41,御坂 美琴,,,
+御坂 美琴.move,3,2,1,
talk,42,初春 飾利,,,
+御坂 美琴.move,2,1,1,
talk,43,初春 飾利,,,
talk,44,御坂 美琴,,,
+御坂 美琴.move,"(-117,290)","(0,290)",1,
talk,45,初春 飾利,,,
talk,46,御坂 美琴,,,
+se,play,300700000640,,,
wait,1,
se,play,300400000710,,,
+初春 飾利.fade,out,0.5,
+御坂 美琴.fade,out,0.5,
+talk,show,0,
wait,2,
talk,47,司会,,,
+talk,show,1,
+司会.fade,in,0.5,
+place,司会,
talk,48,観客たち,,,
+se,play,300200000690,,,
+stage.shake,"(0.10,0)","(10,0)",1,
wait,1.5,
司会.fade,out,0.5,
talk,49,御坂 美琴,,,
+初春 飾利.fade,in,0.5,
+御坂 美琴.fade,in,0.5,
+place,初春 飾利,御坂 美琴,
talk,50,初春 飾利,,,
初春 飾利.fade,out,0.5,
+御坂 美琴.fade,out,0.5,
talk,51,食蜂 操祈,,,
+削板 軍覇.fade,in,0.5,
+食蜂 操祈.fade,in,0.5,
+司会.fade,in,0.5,
+place,削板 軍覇,食蜂 操祈,司会,
+食蜂 操祈.facial,11,
talk,52,司会,,,
talk,53,削板 軍覇,,,
+食蜂 操祈.shake,"(0.80,0)","(1,2)",2,
talk,54,食蜂 操祈,,,
talk,55,削板 軍覇,,,
+screen.effect,ef_com_00000_001_000_00,"(0,0)",2,0,
wait,1.5,
screen.effect,delete,
削板 軍覇.fade,out,0.5,
+食蜂 操祈.fade,out,0.5,
+司会.fade,out,0.5,
talk,56,食蜂 操祈,,,
+帆風 潤子.fade,in,0.5,
+食蜂 操祈.fade,in,0.5,
+place,食蜂 操祈,空白,空白,帆風 潤子,
+食蜂 操祈.shake,"(0.10,0)","(10,0)",1,
talk,57,帆風 潤子,,,
talk,58,食蜂 操祈,,,
talk,59,帆風 潤子,,,
talk,60,帆風 潤子,,,
talk,61,食蜂 操祈,,,
帆風 潤子.fade,out,0.5,
+食蜂 操祈.fade,out,0.5,
talk,62,司会,,,
+削板 軍覇.fade,in,0.5,
+司会.fade,in,0.5,
+place,削板 軍覇,司会,
+削板 軍覇.facial,12,
talk,63,削板 軍覇,,,
wait,0.5,
削板 軍覇.fade,out,0.5,
+司会.fade,out,0.5,
talk,64,食蜂 操祈,,,
+帆風 潤子.fade,in,0.5,
+食蜂 操祈.fade,in,0.5,
+place,食蜂 操祈,空白,空白,帆風 潤子,
talk,65,帆風 潤子,,,
talk,66,食蜂 操祈,,,
+食蜂 操祈.move,"(-351,290)","(-159,290)",1,
talk,67,帆風 潤子,,,
+食蜂 操祈.move,"(-159,290)","(0,290)",1,
talk,68,帆風 潤子,,,
talk,69,食蜂 操祈,,,
+se,play,300700000640,,,
wait,1,
se,play,300400000710,,,
+帆風 潤子.fade,out,0.5,
+食蜂 操祈.fade,out,0.5,
+talk,show,0,
wait,2,
talk,70,司会,,,
+talk,show,1,
+司会.fade,in,0.5,
+place,司会,
talk,71,観客たち,,,
+se,play,300200000690,,,
+stage.shake,"(0.10,0)","(10,0)",1,
wait,1.5,
司会.fade,out,0.5,
talk,72,食蜂 操祈,,,
+帆風 潤子.fade,in,0.5,
+食蜂 操祈.fade,in,0.5,
+place,食蜂 操祈,帆風 潤子,
+帆風 潤子.facial,12,
talk,73,帆風 潤子,,,
帆風 潤子.fade,out,0.5,
+食蜂 操祈.fade,out,0.5,
talk,74,司会,,,
+司会.fade,in,0.5,
+雲川 芹亜.fade,in,0.5,
+削板 軍覇.fade,in,0.5,
+place,司会,雲川 芹亜,削板 軍覇,
+雲川 芹亜.facial,11,
talk,75,雲川 芹亜,,,
talk,76,雲川 芹亜,,,
talk,77,削板 軍覇,,,
+雲川 芹亜.shake,"(0.80,0)","(1,2)",2,
talk,78,司会,,,
talk,79,削板 軍覇,,,
+screen.effect,ef_com_00000_001_000_00,"(0,0)",2,0,
wait,1.5,
screen.effect,delete,
talk,80,雲川 芹亜,,,
司会.fade,out,0.5,
+雲川 芹亜.fade,out,0.5,
+削板 軍覇.fade,out,0.5,
talk,81,食蜂 操祈,,,
+御坂 美琴.fade,in,0.5,
+食蜂 操祈.fade,in,0.5,
+place,御坂 美琴,食蜂 操祈,
+御坂 美琴.facial,23,
talk,82,食蜂 操祈,,,
御坂 美琴.fade,out,0.5,
+食蜂 操祈.fade,out,0.5,
talk,83,男性客Ａ,,,
+雲川 芹亜.fade,in,0.5,
+男性客Ａ.fade,in,0.5,
+place,雲川 芹亜,空白,空白,男性客Ａ,
wait,0.5,
雲川 芹亜.move,0,1,1,
wait,1,
男性客Ａ.fade,out,0.5,
talk,84,女性客Ａ,,,
+女性客Ａ.fade,in,0.5,
+place,雲川 芹亜,空白,空白,女性客Ａ,
+雲川 芹亜.move,0,1,0,
wait,0.5,
雲川 芹亜.move,"(-117,290)","(0,290)",1,
wait,1,
雲川 芹亜.fade,out,0.5,
+女性客Ａ.fade,out,0.5,
talk,85,食蜂 操祈,,,
+御坂 美琴.fade,in,0.5,
+食蜂 操祈.fade,in,0.5,
+place,御坂 美琴,食蜂 操祈,
+御坂 美琴.facial,15,
talk,86,御坂 美琴,,,
talk,87,食蜂 操祈,,,
御坂 美琴.fade,out,0.5,
+食蜂 操祈.fade,out,0.5,
talk,88,雲川 芹亜,,,
+雲川 芹亜.fade,in,0.5,
+place,雲川 芹亜,
talk,89,雲川 芹亜,,,
雲川 芹亜.fade,out,0.5,
talk,90,食蜂 操祈,,,
+御坂 美琴.fade,in,0.5,
+食蜂 操祈.fade,in,0.5,
+place,御坂 美琴,食蜂 操祈,
wait,0.5,
御坂 美琴.fade,out,0.5,
+食蜂 操祈.fade,out,0.5,
talk,91,雲川 芹亜,,,
+雲川 芹亜.fade,in,0.5,
+place,雲川 芹亜,
wait,0.5,
雲川 芹亜.fade,out,0.5,
+男性客Ａ.fade,out,0.5,
talk,92,食蜂 操祈,,,
+御坂 美琴.fade,in,0.5,
+食蜂 操祈.fade,in,0.5,
+place,御坂 美琴,食蜂 操祈,
wait,0.5,
御坂 美琴.fade,out,0.5,
+食蜂 操祈.fade,out,0.5,
talk,93,雲川 芹亜,,,
+雲川 芹亜.fade,in,0.5,
+place,雲川 芹亜,
wait,0.5,
雲川 芹亜.fade,out,0.5,
talk,94,男性客Ａ,,,
+男性客Ａ.fade,in,0.5,
+place,男性客Ａ,
wait,0.5,
男性客Ａ.fade,out,0.5,
talk,95,雲川 芹亜,,,
+雲川 芹亜.fade,in,0.5,
+place,雲川 芹亜,
talk,96,雲川 芹亜,,,
雲川 芹亜.fade,out,0.5,
talk,97,男性客Ａ,,,
+男性客Ａ.fade,in,0.5,
+place,男性客Ａ,
wait,0.5,
男性客Ａ.fade,out,0.5,
talk,98,雲川 芹亜,,,
+se,play,300700000640,,,
+雲川 芹亜.fade,in,0.5,
+place,雲川 芹亜,
wait,1,
se,play,300400000710,,,
+雲川 芹亜.fade,out,0.5,
+talk,show,0,
wait,2,
talk,99,司会,,,
+talk,show,1,
+司会.fade,in,0.5,
+place,司会,
talk,100,観客たち,,,
+se,play,300200000690,,,
+stage.shake,"(0.10,0)","(10,0)",1,
wait,1.5,
司会.fade,out,0.5,
talk,101,雲川 芹亜,,,
+雲川 芹亜.fade,in,0.5,
+place,雲川 芹亜,
talk,102,雲川 芹亜,,,
雲川 芹亜.fade,out,0.5,
talk,103,観客たち,,,
+se,play,300200000690,,,
+stage.shake,"(0.10,0)","(10,0)",1,
wait,1.5,
talk,104,司会,,,
+司会.fade,in,0.5,
+麦野 沈利.fade,in,0.5,
+place,司会,麦野 沈利,
+麦野 沈利.facial,11,
talk,105,麦野 沈利,,,
司会.fade,out,0.5,
talk,106,浜面 仕上,,,
+浜面 仕上.fade,in,0.5,
+place,浜面 仕上,麦野 沈利,
wait,0.5,
浜面 仕上.fade,out,0.5,
+麦野 沈利.fade,out,0.5,
talk,107,削板 軍覇,,,
+screen.effect,ef_com_00000_001_000_00,"(0,0)",2,0,
+削板 軍覇.fade,in,0.5,
+place,削板 軍覇,
wait,0.5,
wait,1.5,
screen.effect,delete,
削板 軍覇.fade,out,0.5,
talk,108,麦野 沈利,,,
+浜面 仕上.fade,in,0.5,
+麦野 沈利.fade,in,0.5,
+place,浜面 仕上,空白,空白,麦野 沈利,
bgm,play,30010006,,,
talk,109,浜面 仕上,,,
+麦野 沈利.move,3,2,1,
wait,0.5,
麦野 沈利.move,2,3,1,
wait,1,
浜面 仕上.fade,out,0.5,
+麦野 沈利.fade,out,0.5,
talk,110,絹旗 最愛,,,
+絹旗 最愛.fade,in,0.5,
+滝壺 理后.fade,in,0.5,
+place,絹旗 最愛,滝壺 理后,
+滝壺 理后.facial,14,
talk,111,滝壺 理后,,,
絹旗 最愛.fade,out,0.5,
+滝壺 理后.fade,out,0.5,
wait,0.5,
浜面 仕上.fade,in,0.5,
+麦野 沈利.fade,in,0.5,
+place,浜面 仕上,空白,空白,麦野 沈利,
+focus,off,浜面 仕上,麦野 沈利,
talk,112,浜面 仕上,,,
+麦野 沈利.move,3,5,1,
wait,1,
麦野 沈利.move,5,3,1,
wait,1,
talk,113,麦野 沈利,,,
talk,114,浜面 仕上,,,
talk,115,浜面 仕上,,,
talk,116,麦野 沈利,,,
talk,117,麦野 沈利,,,
talk,118,浜面 仕上,,,
+麦野 沈利.move,3,2,1,
bgm,stop,
talk,119,浜面 仕上,,,
bgm,play,30010005,,,
talk,120,麦野 沈利,,,
talk,121,浜面 仕上,,,
浜面 仕上.fade,out,0.5,
+麦野 沈利.fade,out,0.5,
talk,122,絹旗 最愛,,,
+絹旗 最愛.fade,in,0.5,
+滝壺 理后.fade,in,0.5,
+place,絹旗 最愛,滝壺 理后,
talk,123,滝壺 理后,,,
絹旗 最愛.fade,out,0.5,
+滝壺 理后.fade,out,0.5,
talk,124,麦野 沈利,,,
+浜面 仕上.fade,in,0.5,
+麦野 沈利.fade,in,0.5,
+place,浜面 仕上,空白,空白,麦野 沈利,
talk,125,浜面 仕上,,,
talk,126,麦野 沈利,,,
talk,127,浜面 仕上,,,
talk,128,浜面 仕上,,,
talk,129,麦野 沈利,,,
+stage.shake,"(0.10,0)","(10,0)",1,
wait,1,
浜面 仕上.fade,out,0.5,
+麦野 沈利.fade,out,0.5,
talk,130,絹旗 最愛,,,
+絹旗 最愛.fade,in,0.5,
+滝壺 理后.fade,in,0.5,
+place,絹旗 最愛,滝壺 理后,
+滝壺 理后.facial,15,
talk,131,滝壺 理后,,,
絹旗 最愛.fade,out,0.5,
+滝壺 理后.fade,out,0.5,
talk,132,浜面 仕上,,,
+浜面 仕上.fade,in,0.5,
+麦野 沈利.fade,in,0.5,
+place,浜面 仕上,空白,空白,麦野 沈利,
+浜面 仕上.shake,"(0.10,0)","(10,0)",1,
wait,0.5,
se,play,300200000340,,,
+浜面 仕上.move,0,4,0.5,
+浜面 仕上.fade,out,0.5,
+talk,show,0,
wait,1.5,
talk,133,麦野 沈利,,,
+talk,show,1,
+麦野 沈利.shake,"(0.10,0)","(10,0)",0.5,
wait,0.5,
se,play,300200000340,,,
+麦野 沈利.move,3,4,1,
+麦野 沈利.fade,out,0.5,
+talk,show,0,
wait,1.5,
talk,134,司会,,,
+talk,show,1,
+削板 軍覇.fade,in,0.5,
+司会.fade,in,0.5,
+place,削板 軍覇,司会,
+削板 軍覇.facial,12,
talk,135,削板 軍覇,,,
talk,136,司会,,,
talk,137,司会,,,
wait,2,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
