#command,param1,param2,param3,param4,param5,param6,
#,
control,1,
stage,7017001,,,,,,
bgm,stop,
chara,53000401,湾内 絹保,12,
talk,56,佐天たち,,,,,
+focus,on,佐天 涙子,初春 飾利,
wait,1,
se,play,300200000062,,,,,
+湾内 絹保.move,0,4,1,
+泡浮 万彬.move,1,4,1,
+湾内 絹保.fade,out,0.5,
+泡浮 万彬.fade,out,0.5,
+talk,show,0,
+focus,on,湾内 絹保,泡浮 万彬,
wait,2,
佐天 涙子.fade,out,0.5,
+初春 飾利.fade,out,0.5,
talk,57,佐天 涙子,,,,,
+talk,show,1,
+婚后 光子.fade,in,0.5,
+初春 飾利.fade,in,0.5,
+佐天 涙子.fade,in,0.5,
+place,婚后 光子,初春 飾利,佐天 涙子,
talk,58,初春 飾利,,,,,
talk,59,婚后 光子,,,,,
talk,60,佐天 涙子,,,,,
talk,61,婚后 光子,,,,,
talk,62,佐天 涙子,,,,,
wait,1,
fade,out,1,#FFFFFF,0,0,0,
talk,show,0,
+佐天 涙子.facial,21,
+初春 飾利.facial,17,
+婚后 光子.facial,17,
+focus,佐天 涙子,
wait,2,
fade,in,1,#FFFFFF,0,0,0,
talk,63,佐天 涙子,,,,,
+talk,show,1,
talk,64,初春 飾利,,,,,
talk,65,婚后 光子,,,,,
se,play,300200000700,,,,,
+focus,off,佐天 涙子,初春 飾利,婚后 光子,
wait,2,
talk,66,佐天 涙子,,,,,
talk,67,初春 飾利,,,,,
talk,68,婚后 光子,,,,,
talk,69,佐天 涙子,,,,,
talk,70,佐天 涙子,,,,,
talk,71,婚后 光子,,,,,
talk,72,初春 飾利,,,,,
bgm,play,30010003,,,,,
talk,73,佐天 涙子,,,,,
talk,74,佐天 涙子,,,,,
talk,75,婚后 光子,,,,,
talk,76,初春 飾利,,,,,
talk,77,佐天 涙子,,,,,
talk,78,婚后 光子,,,,,
talk,79,初春 飾利,,,,,
talk,80,佐天 涙子,,,,,
talk,81,佐天 涙子,,,,,
wait,2,
fade,out,1,#FFFFFF,0,
+image,999999999,1,シーン01,
シーン01.fade,in,0.1,
+talk,show,0,
fade,in,0.5,#FFFFFF,0,
bgm,stop,
control,0,
wait,1,
movie,play,story_event000000085,0,1,1,0,
+bgm,play,30010003,,,,,
bgm,stop,
[END],
