#command,param1,param2,param3,param4,param5,param6,
#,
control,1,
stage,5003002,,,,,,
bgm,stop,1,,,,,
+image,999999999,0,シーン00,
chara,37001101,佐天 涙子,12,
talk,34,佐天 涙子,,,,,
talk,35,初春 飾利,,,,,
talk,36,初春 飾利,,,,,
talk,37,佐天 涙子,,,,,
talk,38,初春 飾利,,,,,
talk,39,春上 衿衣,,,,,
talk,40,初春 飾利,,,,,
talk,41,春上 衿衣,,,,,
talk,42,初春 飾利,,,,,
talk,43,春上 衿衣,,,,,
talk,44,佐天 涙子,,,,,
talk,45,春上 衿衣,,,,,
talk,46,初春 飾利,,,,,
talk,47,初春 飾利,,,,,
talk,48,春上 衿衣,,,,,
talk,49,初春 飾利,,,,,
wait,1,,,,,,
fade,out,1,#FFFFFF,0,
se,play,300400000590,,,,,
+wait,1,,,,,,
se,play,300400000600,,,,,
+wait,0.5,,,,,,
御坂 美琴.fade,out,0.5,
+佐天 涙子.fade,out,0.5,
+白井 黒子.fade,out,0.5,
bgm,play,30010001,,,,,
stage,5004003,,,,,,
初春 飾利.facial,14,
春上 衿衣.facial,11,
place,初春 飾利,春上 衿衣,
+初春 飾利.fade,in,0.5,
+春上 衿衣.fade,in,0.5,
talk,show,0,
wait,1,
fade,in,1,#FFFFFF,0,
talk,50,初春 飾利,,,,,
+talk,show,1,
talk,51,春上 衿衣,,,,,
talk,52,初春 飾利,,,,,
talk,53,春上 衿衣,,,,,
佐天 涙子.fade,out,0.5,
+初春 飾利.fade,out,0.5,
+春上 衿衣.fade,out,0.5,
+se,play,300200000860,,,,,
place,御坂 美琴,白井 黒子,佐天 涙子,
+佐天 涙子.fade,in,0.5,
+御坂 美琴.fade,in,0.5,
+白井 黒子.fade,in,0.5,
talk,54,白井 黒子,,,,,
talk,55,御坂 美琴,,,,,
talk,56,佐天 涙子,,,,,
佐天 涙子.fade,out,0.5,
+御坂 美琴.fade,out,0.5,
+白井 黒子.fade,out,0.5,
place,佐天 涙子,初春 飾利,春上 衿衣,
+佐天 涙子.fade,in,0.5,
+初春 飾利.fade,in,0.5,
+春上 衿衣.fade,in,0.5,
talk,57,初春 飾利,,,,,
talk,58,佐天 涙子,,,,,
+se,play,300800000530,,,,,
talk,59,春上 衿衣,,,,,
talk,60,初春 飾利,,,,,
talk,61,佐天 涙子,,,,,
talk,62,佐天 涙子,,,,,
wait,1,,,,,,
fade,out,1,#FFFFFF,0,
佐天 涙子.fade,out,0.5,
+御坂 美琴.fade,out,0.5,
+白井 黒子.fade,out,0.5,
bgm,stop,1,,,,,
bgm,play,30010003,,,,,
place,佐天 涙子,御坂 美琴,春上 衿衣,白井 黒子,
+佐天 涙子.fade,in,0.5,
+御坂 美琴.fade,in,0.5,
+春上 衿衣.fade,in,0.5,
+白井 黒子.fade,in,0.5,
talk,show,0,
御坂 美琴.facial,10,
wait,1,
fade,in,1,#FFFFFF,0,
se,play,300300000500,,,,,
wait,1,,,,,,
talk,63,佐天 涙子,,,,,
+talk,show,1,
talk,64,春上 衿衣,,,,,
talk,65,御坂 美琴,,,,,
talk,66,佐天 涙子,,,,,
talk,67,白井 黒子,,,,,
佐天 涙子.fade,out,0.5,
+御坂 美琴.fade,out,0.5,
+春上 衿衣.fade,out,0.5,
+白井 黒子.fade,out,0.5,
place,佐天 涙子,初春 飾利,春上 衿衣,白井 黒子,
+佐天 涙子.fade,in,0.5,
+初春 飾利.fade,in,0.5,
+春上 衿衣.fade,in,0.5,
+白井 黒子.fade,in,0.5,
+focus,on,初春 飾利,
se,play,300300000500,,,,,
wait,1,,,,,,
talk,68,初春 飾利,,,,,
talk,69,春上 衿衣,,,,,
talk,70,初春 飾利,,,,,
talk,71,佐天 涙子,,,,,
talk,72,初春 飾利,,,,,
talk,73,初春 飾利,,,,,
fade,out,1,#FFFFFF,0,
+image,999999999,1,シーン01,
シーン01.fade,in,0.1,
+talk,show,0,
fade,in,0.5,#FFFFFF,0,
bgm,stop,
control,0,
wait,1,
movie,play,story_event000000055,0,1,1,0,
+bgm,play,10050003,
bgm,stop,
[END],
,,,,,,,








