#command,param1,param2,param3,param4,param5,
#,
control,1,
stage,7001003,,,,,
wait,1,
talk,77,上条たち,,,,
+上条 当麻.facial,15,
+御坂 美琴.facial,15,
+focus,on,上条 当麻,御坂 美琴,
talk,78,エドワード,,,,
talk,79,エドワード,,,,
talk,80,エドワード,,,,
talk,81,上条 当麻,,,,
talk,82,御坂 美琴,,,,
bgm,stop,,,,,
se,play,300800000510,,,,
+focus,off,上条 当麻,アルフォンス,エドワード,御坂 美琴,
+talk,show,0,
wait,2,
上条 当麻.fade,out,0.5,
+アルフォンス.fade,out,0.5,
+エドワード.fade,out,0.5,
+御坂 美琴.fade,out,0.5,
wait,0.5,
talk,83,鎧騎士,,,,
+talk,show,1,
+鎧騎士.fade,in,0.5,
+place,鎧騎士,
wait,0.5,
鎧騎士.fade,out,0.5,
bgm,play,30010017,,,,
talk,84,上条たち,,,,
+上条 当麻.fade,in,0.5,
+アルフォンス.fade,in,0.5,
+エドワード.fade,in,0.5,
+御坂 美琴.fade,in,0.5,
+上条 当麻.facial,15,
+アルフォンス.facial,10,
+エドワード.facial,15,
+御坂 美琴.facial,15,
+place,上条 当麻,アルフォンス,エドワード,御坂 美琴,
+focus,on,上条 当麻,アルフォンス,エドワード,
talk,85,上条 当麻,,,,
上条 当麻.fade,out,0.5,
+アルフォンス.fade,out,0.5,
+エドワード.fade,out,0.5,
+御坂 美琴.fade,out,0.5,
talk,86,ロイ,,,,
+ロイ.fade,in,0.5,
+place,ロイ,
wait,0.5,
ロイ.fade,out,0.5,
talk,87,アルフォンス,,,,
+上条 当麻.fade,in,0.5,
+アルフォンス.fade,in,0.5,
+エドワード.fade,in,0.5,
+御坂 美琴.fade,in,0.5,
+place,上条 当麻,アルフォンス,エドワード,御坂 美琴,
wait,0.5,
上条 当麻.fade,out,0.5,
+アルフォンス.fade,out,0.5,
+エドワード.fade,out,0.5,
+御坂 美琴.fade,out,0.5,
talk,88,鎧騎士,,,,
+鎧騎士.fade,in,0.5,
+ロイ.fade,in,0.5,
+ロイ.facial,15,
+place,ロイ,鎧騎士,
talk,89,ロイ,,,,
bgm,stop,
se,play,300700000090,,,,
+talk,show,0,
+focus,off,ロイ,鎧騎士,
wait,1,
talk,90,鎧騎士,,,,
+talk,show,1,
+se,play,300300000240,,,,
+鎧騎士.shake,"(0.10,0)","(10,0)",1,
wait,1,
se,play,300700000450,,,,
+鎧騎士.fade,out,0.5,
+talk,show,0,
wait,1,
+talk,show,0,
wait,0.5,
talk,91,ロイ,,,,
+talk,show,1,
wait,0.5,
ロイ.fade,out,0.5,
+talk,show,0,
wait,0.5,
se,play,300200000480,,,,
+リザ.fade,in,0.5,
+focus,on,リザ,
+place,リザ,
+screen.effect,ef_com_00000_000_000_00,"(0,0)",2,0,0,
wait,1.5,
リザ.fade,out,0.5,
+screen.effect,delete,,2,0,0,
talk,92,エドワードたち,,,,
+talk,show,1,
+エドワード.fade,in,0.5,
+アルフォンス.fade,in,0.5,
+エドワード.facial,15,0.5,
+place,アルフォンス,エドワード,
+focus,on,アルフォンス,エドワード,
wait,0.5,
エドワード.fade,out,0.5,
+アルフォンス.fade,out,0.5,
talk,93,リザ,,,,
+リザ.fade,in,0.5,
+place,リザ,
talk,94,リザ,,,,
wait,2,
fade,out,1,#FFFFFF,0,
bgm,stop,
wait,1,
[END],
